Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2024-12-05,173.91433715820312,177.30662874705726,173.61501507328163,176.91751460390543,16145500
2024-12-06,176.0894012451172,176.4376080962673,173.15607214175068,173.4853249211239,13319500
2024-12-09,176.89846801757812,177.83738550391604,175.20039040791823,175.51503437960727,19887800
2024-12-10,186.31773376464844,187.8160268138949,182.46212570826387,184.32500888640666,34317400
2024-12-11,196.4861602783203,196.66594813117683,186.04803967773574,186.4875414177299,41664500
2024-12-12,193.40965270996094,196.48115029218562,193.06004491560958,196.0766124040666,25197800
2024-12-13,191.16221618652344,194.11883919838084,191.0423423812578,192.490704487651,18883200
2024-12-16,197.93450927734375,200.41168291616427,193.88911488994594,194.14382959225733,32248600
2024-12-17,196.8956756591797,202.64913062417182,196.46617230830898,198.30407475927043,24129500
2024-12-18,189.93360900878906,198.46389928471683,189.0646039194836,196.60601529827326,27638400
2024-12-19,189.484130859375,194.37856412730645,189.30434300339118,193.06005888438943,26981200
2024-12-20,192.74041748046875,193.91406813278797,186.1579053424554,186.7971764103249,45319700
2024-12-23,195.7669677734375,196.26639877064787,191.411928868106,193.80919155814604,15235900
2024-12-24,197.34518432617188,197.44506138722352,194.97587425527323,195.94676829861982,6809800
2024-12-26,196.87571716308594,197.93450850289778,195.6471058614473,196.5161262135814,7907900
2024-12-27,193.81918334960938,196.5760523318792,191.75354348102763,196.24642603002408,14693000
2024-12-30,192.47073364257812,193.55948963491522,190.14338320337714,190.64781342319387,12209500
2024-12-31,190.22328186035156,193.03008164381478,189.36425993005457,192.2260050490995,14355200
2025-01-02,190.41307067871094,192.9801381301293,188.49525744007033,191.26709343340778,17545200
2025-01-03,192.9102325439453,194.27866867483587,191.13225931471843,192.5056946331138,12875000
2025-01-06,197.7347412109375,199.33291137103032,194.83803207586362,194.92792600382484,19483300
2025-01-07,196.4861602783203,201.909973886113,195.7170322333306,198.04438263544472,16966800
2025-01-08,195.1676483154297,197.41508784704052,193.52951522204586,193.72928457657076,14335300
2025-01-10,192.95018005371094,197.39511312065048,191.38197456331892,195.19761966253236,20753800
2025-01-13,192.0711669921875,192.27095158503425,188.4453083016719,191.13224951636064,13169100
2025-01-14,190.8325958251953,193.050070773715,189.42419669059564,192.28094273517524,13651200
2025-01-15,196.75584411621094,197.57491832048342,193.11000369739423,194.12884726518368,12894900
2025-01-16,194.1887664794922,196.75583391247915,194.0788910490422,195.60214951346643,13449600
2025-01-17,197.3251953125,198.58375597214695,195.0877388983694,197.82462632303964,22109100
2025-01-21,199.40283203125,203.6080326445683,199.21304580682195,200.28182025394423,19005200
2025-01-22,199.8023681640625,201.88998612293432,198.9733108604717,200.32178068082086,15477400
2025-01-23,199.35289001464844,201.71020506522237,196.59603624015026,199.75242873857272,15170800
2025-01-24,201.6702423095703,202.33949329722083,199.5566528889042,199.6225872950207,12732400
2025-01-27,193.54949951171875,198.44391735433535,192.48070982544095,193.96901973467803,24970200
2025-01-28,196.8457489013672,197.00555524376668,192.39081751116362,194.42848935993928,15939200
2025-01-29,196.9556121826172,198.2341696318412,194.96788645279017,197.14539841120728,12287800
2025-01-30,202.3994140625,203.00672387191645,199.24500307805343,199.53266972822976,14571500
2025-01-31,205.3660430908203,206.8443546537246,203.34833748699367,203.48317837651163,17087300
2025-02-03,202.40939331054688,204.9864590771122,201.43051282665638,201.98487391595285,16719500
2025-02-04,207.4736328125,208.46249643839946,204.02754671792735,204.2672790849399,28285400
2025-02-05,193.0800323486328,194.32860987902825,189.69389069585742,192.88026299205453,43666400
2025-02-06,193.0900115966797,193.60942410647172,190.2732286703268,190.77265967243562,20816600
2025-02-07,186.92703247070312,192.79534667048466,184.88936071436743,192.52066571940506,29565700
2025-02-10,187.98582458496094,189.77379609286592,187.39649966530655,188.84484651111416,16606000
2025-02-11,186.8571319580078,188.58515904568145,185.86825303657443,186.62239876540912,13028100
2025-02-12,185.21897888183594,186.61739486850084,183.42103942122037,185.0192095241481,17632300
2025-02-13,187.66619873046875,187.77607416088287,184.66961270981918,185.7184056239068,12729300
2025-02-14,186.6573486328125,187.93589085274974,185.89821895267022,186.6174008565631,12714200
2025-02-18,185.58856201171875,187.56630449733623,183.3710871600107,187.226695076443,19796000
2025-02-19,186.91705322265625,187.1467872178663,185.2889032654933,185.9731213052312,13120500
2025-02-20,186.4276123046875,186.90706182083724,184.38994042998203,186.28777222741775,12063800
2025-02-21,181.3733673095703,187.25666399411273,180.92388244913036,187.07686090508184,19520800
2025-02-24,180.9838104248047,184.87936617572134,180.67416563965807,183.59084088624112,18734000
2025-02-25,177.16815185546875,180.55429349830055,176.56884378749382,179.94998624296272,20832500
2025-02-26,174.50119018554688,177.87734865828276,173.3924527442382,176.74364576328153,23637200
2025-02-27,170.0163116455078,176.38904098824568,169.55882503535227,175.73978676984865,25930500
2025-02-28,172.02401733398438,172.30369747869378,168.19837398997922,170.1062040953664,30049800
2025-03-03,168.46807861328125,174.80086041257175,167.4492350449917,173.5323013294071,24122000
2025-03-04,172.41357421875,174.9656593689528,167.34933645157065,167.74889040520628,30711400
2025-03-05,174.79087829589844,175.55000797862252,170.73548550793336,172.12391841048589,18848000
2025-03-06,174.0117645263672,176.52888591983762,172.31169022063378,172.35364986457097,19082400
2025-03-07,175.5500030517578,176.69868829805844,172.05398592128185,173.0448614517929,16395300
2025-03-10,167.80999755859375,170.4499969482422,165.56500244140625,170.16000366210938,28990700
2025-03-11,165.97999572753906,168.65499877929688,163.24000549316406,166.67999267578125,23705900
2025-03-12,169.0,169.52999877929688,165.47999572753906,168.47000122070312,19880100
2025-03-13,164.72999572753906,168.1199951171875,164.07000732421875,167.97999572753906,15206200
2025-03-14,167.6199951171875,168.25,164.50999450683594,165.31500244140625,18611100
2025-03-17,166.57000732421875,168.4600067138672,165.80999755859375,167.3249969482422,17839100
2025-03-18,162.6699981689453,166.44000244140625,158.8000030517578,165.9600067138672,24616800
2025-03-19,166.27999877929688,168.13299560546875,163.0500030517578,163.9149932861328,24955700
2025-03-20,165.0500030517578,167.02999877929688,163.13999938964844,163.8249969482422,19981500
2025-03-21,166.25,166.47000122070312,163.02999877929688,163.3800048828125,29882100
2025-03-24,169.92999267578125,170.5,167.44000244140625,169.26499938964844,18742800
2025-03-25,172.7899932861328,172.91000366210938,170.5500030517578,171.17999267578125,13841600
2025-03-26,167.13999938964844,171.94000244140625,166.86099243164062,171.3000030517578,22498000
2025-03-27,164.0800018310547,167.44000244140625,163.85000610351562,166.7100067138672,21571200
2025-03-28,156.05999755859375,163.80999755859375,155.33900451660156,162.36000061035156,34866500
2025-03-31,156.22999572753906,157.1300048828125,152.2100067138672,154.80999755859375,33591600
2025-04-01,158.8800048828125,160.0800018310547,155.2550048828125,155.3000030517578,20111400
2025-04-02,158.86000061035156,160.27499389648438,156.52999877929688,156.9600067138672,17113300
2025-04-03,152.6300048828125,154.68699645996094,152.17999267578125,152.8350067138672,28416100
2025-04-04,147.74000549316406,153.08999633789062,147.5399932861328,149.89999389648438,39832200
2025-04-07,149.24000549316406,154.92999267578125,142.66000366210938,143.38999938964844,47823000
2025-04-08,146.5800018310547,154.44000244140625,145.2100067138672,153.5749969482422,35304400
2025-04-09,161.05999755859375,161.8699951171875,145.80999755859375,146.3300018310547,46479500
2025-04-10,155.3699951171875,160.02999877929688,152.1999969482422,158.75999450683594,35270500
2025-04-11,159.39999389648438,159.86000061035156,155.5850067138672,155.5850067138672,22582000
2025-04-14,161.47000122070312,164.02999877929688,159.9199981689453,162.30999755859375,18255900
2025-04-15,158.67999267578125,162.0500030517578,157.64500427246094,161.57000732421875,15690800
2025-04-16,155.5,158.17999267578125,153.91000366210938,155.47000122070312,16921500
2025-04-17,153.36000061035156,157.07000732421875,150.89999389648438,156.61000061035156,19513400
2025-04-21,149.86000061035156,151.05999755859375,148.39999389648438,150.96499633789062,16147800
2025-04-22,153.89999389648438,154.61000061035156,150.8699951171875,151.07000732421875,15910300
2025-04-23,157.72000122070312,160.02000427246094,156.35000610351562,157.91000366210938,18575700
2025-04-24,161.47000122070312,161.7100067138672,158.08999633789062,158.52499389648438,30787500
2025-04-25,163.85000610351562,168.24000549316406,163.0,167.10000610351562,35148100
2025-04-28,162.4199981689453,164.9499969482422,160.3800048828125,164.25999450683594,20871200
2025-04-29,162.05999755859375,162.67999267578125,159.38999938964844,162.0449981689453,15955200
2025-04-30,160.88999938964844,161.37399291992188,157.15499877929688,159.86000061035156,20639500
2025-05-01,162.7899932861328,163.94000244140625,160.92999267578125,162.52000427246094,21904300
2025-05-02,165.80999755859375,166.6999969482422,163.66000366210938,164.9550018310547,16832500
